president,term,start_date,end_date,approving,disapproving,unsure_no_data,democrats_approving,independents_approving,republicans_approving,poll_source,source_url
Donald J. Trump,2nd term,01/21/2025,01/27/2025,47,48,5,6,46,91,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,02/03/2025,02/14/2025,45,51,4,4,37,93,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,03/03/2025,03/16/2025,43,53,4,4,35,91,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/01/2025,04/14/2025,44,53,3,4,37,90,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,5/1/2025,5/18/2025,43,53,4,4,33,90,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,06/03/2025,06/19/2025,40,57,3,1,36,89,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,07/07/2025,07/21/2025,37,58,5,2,29,89,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,08/01/2025,08/20/2025,40,56,4,1,35,93,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,09/02/2025,09/16/2025,40,56,4,2,32,93,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,10/01/2025,10/16/2025,41,54,5,6,33,91,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,11/03/2025,11/25/2025,36,60,4,3,25,84,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,12/01/2025,12/15/2025,36,59,5,3,25,89,gallup,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,1/8/2026,1/11/2026,40,59,1,8,31,81,ap-norc,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,01/09/2026,01/12/2026,39,61,1,4,29,87,cnn ssrs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,01/12/2026,01/13/2026,38,56,6,8,29,86,marist-usa,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,01/27/2026,01/30/2026,39,56,5,8,30,85,marist-npr-pbs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,02/05/2026,02/08/2026,36,62,2,,,,ap-norc,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,02/17/2026,02/20/2026,36,63,0,5,26,82,cnn ssrs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,03/02/2026,03/04/2026,38,57,5,5,34,83,marist-npr pbs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,03/16/2026,03/18/2026,37,60,3,,,,verasight,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,03/19/2026,03/23/2026,38,60,2,,,,ap-norc,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,3/26/2026,3/30/2026,35,67,1,2,26,80,cnn ssrs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/16/2026,04/20/2026,33,67,0,,,,ap-norc,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/20/2026,04/26/2026,34,64,2,,,,pew,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/24/2026,04/27/2026,34,64,2,4,24,78,ipsos,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/24/2026,04/28/2026,37,59,4,6,32,81,marist-npr pbs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,04/30/2026,05/04/2026,35,65,0,4,26,79,cnn ssrs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,05/07/2026,05/31/2026,34,55,11,5,25,79,cnn ssrs,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
Donald J. Trump,2nd term,05/15/2026,05/17/2026,35,62,2,4,25,79,ipsos,https://www.presidency.ucsb.edu/statistics/data/donald-j-trump-2nd-term-public-approval
